ECM Titanium Exported Map
PROJ: Volkswagen_EDC17C46_INTERNAL-FLASH _2025_10_12_11_15_33
DRV : T947_878.DRT
MAP : Eingespritzte Kraftstoffmenge f(RPM,Drehmoment) #1
Addr: 0x055A18
Size: 16x16
Unit: mm3/Stk
RPM|Nm;0,0;25,0;50,0;70,0;90,0;120,0;150,0;180,0;210,0;240,0;270,0;300,0;330,0;360,0;390,0;420,0
800;0,00;5,59;8,15;12,13;16,10;21,50;26,75;32,00;39,59;48,21;55,82;63,42;69,83;76,25;81,88;87,50
1000;0,00;5,25;7,52;11,50;15,47;20,64;25,77;30,89;36,85;44,72;51,86;59,00;65,46;71,92;77,67;83,42
1250;0,00;4,90;7,24;11,12;15,00;19,98;25,00;30,01;34,94;41,50;47,70;53,89;60,30;66,70;72,69;78,67
1500;0,00;4,50;6,93;10,84;14,74;19,67;24,35;29,03;33,97;39,89;45,35;50,80;56,93;63,07;69,20;75,33
1750;0,00;3,91;6,56;10,40;14,23;19,30;23,78;28,26;33,45;38,75;43,56;48,37;54,46;60,54;66,96;73,38
2000;0,00;3,66;6,44;10,21;13,97;18,85;23,27;27,68;32,78;38,04;42,61;47,18;52,94;58,70;65,02;71,33
2250;0,00;3,34;6,13;9,86;13,58;18,46;22,85;27,23;32,53;38,03;42,69;47,35;52,92;58,49;64,66;70,83
2500;0,00;3,02;5,82;9,50;13,18;18,07;22,43;26,78;32,27;38,03;42,77;47,51;52,89;58,27;64,30;70,33
2750;0,00;2,82;5,55;9,19;12,83;17,61;21,98;26,34;31,78;37,96;43,05;48,14;53,62;59,10;65,09;71,08
3000;0,00;2,54;5,12;8,65;12,17;17,10;21,50;25,89;31,30;37,40;42,72;48,05;53,82;59,59;65,59;71,58
3250;0,00;2,48;5,00;8,27;11,54;16,20;20,82;25,44;30,81;36,83;42,38;47,93;53,76;59,59;65,38;71,17
3500;0,00;2,25;4,66;7,95;11,24;15,41;20,20;24,99;30,32;36,16;41,96;47,75;53,75;59,75;65,38;71,00
3750;0,00;2,50;4,38;7,71;11,04;14,87;19,76;24,64;29,93;35,98;42,12;48,26;54,34;60,42;65,88;71,33
4000;0,00;2,70;4,70;7,63;10,56;14,29;19,72;25,14;30,16;36,56;42,87;49,18;55,19;61,20;66,60;72,00
4250;0,00;2,84;5,16;7,98;10,79;14,62;20,07;25,51;30,65;37,45;43,99;50,53;56,47;62,40;67,70;73,00
4500;0,00;3,10;5,51;8,47;11,42;14,87;20,38;25,89;31,08;38,07;44,82;51,57;57,50;63,42;68,58;73,75
