ECM Titanium Exported Map
PROJ: Volkswagen_EDC17C46_INTERNAL-FLASH _2025_10_12_11_15_33
DRV : T947_878.DRT
MAP : Ladedruck #2
Addr: 0x067ABE
Size: 16x13
Unit: hPa
RPM|mm3/Stk;0,00;5,00;10,00;15,00;20,00;25,00;30,00;35,00;40,00;45,00;50,00;55,00;60,00
800;975;990;1000;1030;1070;1150;1200;1250;1200;1200;1200;1200;1200
1000;1025;1040;1050;1080;1120;1200;1200;1250;1250;1250;1250;1250;1250
1250;903;925;978;1048;1120;1203;1225;1298;1333;1373;1400;1425;1450
1500;770;800;895;1005;1110;1195;1250;1345;1415;1495;1550;1600;1650
1750;750;820;925;1050;1180;1290;1370;1500;1600;1730;1835;1895;1900
2000;750;845;960;1090;1190;1330;1465;1575;1725;1855;1945;2000;2010
2250;800;890;1010;1130;1230;1370;1490;1605;1760;1890;1965;2000;2005
2500;880;950;1060;1170;1260;1365;1470;1575;1745;1870;1940;1995;2000
2750;910;985;1080;1180;1280;1350;1435;1545;1705;1805;1900;1950;1950
3000;930;1010;1100;1200;1280;1340;1415;1525;1645;1780;1835;1895;1895
3500;930;1010;1100;1210;1285;1330;1390;1490;1600;1705;1760;1800;1800
4000;930;980;1080;1200;1285;1330;1380;1440;1560;1645;1685;1710;1720
4200;930;980;1080;1200;1245;1330;1380;1420;1540;1625;1670;1680;1680
4500;930;980;1080;1200;1220;1330;1380;1390;1470;1520;1520;1520;1520
4800;930;980;1080;1200;1170;1330;1380;1370;1370;1370;1370;1370;1370
5400;930;980;1080;1200;1150;1300;1300;1300;1300;1300;1300;1300;1300
