ECM Titanium Exported Map
PROJ: Volkswagen_EDC17C46_INTERNAL-FLASH _2025_10_12_11_15_33
DRV : T947_878.DRT
MAP : Ladedruck #4
Addr: 0x067F46
Size: 16x13
Unit: hPa
RPM|mm3/Stk;0,00;5,00;10,00;15,00;20,00;25,00;30,00;35,00;40,00;45,00;50,00;55,00;60,00
600;1025;1040;1050;1080;1120;1200;1250;1300;1380;1400;1430;1480;1500
1000;1025;1040;1050;1080;1120;1200;1250;1300;1380;1400;1430;1480;1500
1250;1030;1020;1040;1120;1170;1205;1315;1415;1485;1590;1625;1665;1715
1500;1043;1040;1070;1150;1230;1306;1455;1570;1640;1795;1850;1900;1950
1750;1067;1090;1100;1200;1304;1425;1610;1760;1885;2120;2190;2240;2255
2000;1090;1108;1140;1265;1389;1525;1716;1887;2070;2270;2350;2350;2350
2250;1115;1147;1190;1331;1465;1655;1852;2021;2198;2315;2350;2350;2350
2500;1160;1208;1255;1396;1540;1725;1915;2075;2255;2350;2350;2350;2350
2750;1200;1250;1295;1451;1580;1750;1950;2095;2280;2350;2350;2350;2350
3000;1220;1290;1340;1481;1600;1750;1960;2086;2265;2350;2350;2350;2350
3500;1230;1300;1371;1510;1600;1750;1925;2030;2195;2300;2300;2300;2300
4000;1230;1300;1380;1500;1600;1750;1900;2020;2147;2180;2180;2180;2180
4200;1230;1300;1380;1500;1600;1750;1880;1990;2112;2120;2120;2120;2120
4500;1230;1300;1380;1500;1600;1750;1860;1950;2039;2040;2040;2040;2040
4800;1230;1300;1380;1500;1600;1750;1850;1850;1850;1850;1850;1850;1850
5400;1230;1300;1380;1500;1600;1750;1750;1750;1750;1750;1750;1750;1750
